المبدأ,الموضوع,التكييف,تاريخ القرار,القسم,الغرفة,رقم القرار
منحة التقاعد لا تعتبر منحة عطب طبقا للتشريع المتعلق بالضمان الاجتماعي,المنح,إعتراف بحق,2017-03-16,,الغرفة الثالثة,115359
إن البيع العلني للأموال المنقولة ، من صلاحية محافظ  البيع بالمزايدة ,صلاحيات البيع بالمزايدة,إعتراف بحق,2017-02-16,,الغرفة الثالثة,115668
إن تسبيب القرار بتأكيد الأخطاء المهنية المرتكبة و خطورتها مع افتراض حسن نية مرتكبها عند توقيع العقوبة لا يستقيم قانونا و يعرض القرار للنقض.,الطعن بالنقض,منظمات مهنية,2016-11-17,,الغرفة الخامسة,125052
إن تسبيب القرار بتأكيد الأخطاء المهنية المرتكبة و خطورتها مع افتراض حسن نية مرتكبها عند توقيع العقوبة لا يستقيم قانونا و يعرض القرار للنقض.,قصور في التسبيب,منظمات مهنية,2016-11-17,,الغرفة الخامسة,125052
إن الوالي غير مختص بإلغاء قرار لم يصدره حتى و إن تبين أن القرار صدر دون احترام الإجراءات القانونية ، فإن سحبه أو إلغاءه من اختصاص القضاء,تجاوز السلطة,التعمير,2016-11-17,,الغرفة الثالثة,112233
لئن كان منح الرخص و الشهادات و سحبها ( السحب في الآجال المعقولة ) في مادة التعمير و البناء ، من صلاحيات الإدارة ، فإن تجميد رخصة البناء بعد منحها يعد تجاوزا للصلاحيات لأنه غير منصوص عليه قانونا و يعد انحرافا بالسلطة.,تجميد رخصة البناء,التعمير,2016-10-20,,الغرفة الثالثة,111401
تتقادم الدعوى التأديبية المتعلقة بمهنة التوثيق بمضي ثلاثة (3) سنوات ابتداء من يوم ارتكاب الأفعال ، ما لم تحمل وصفا جزئيا ، و تنقطع مدة سريان التقادم بناء على اتخاذ أي إجراء تأديبي أو متابعة قضائية ,تقادم الدعوى التأديبية,منظمات مهنية,2016-07-21,,الغرفة الخامسة,125366
يؤول اختصاص الفصل في طلب  رفض اعتماد  الجمعيات الوطنية إلى مجلس الدولة,إختصاص مجلس الدولة,تنازع الإختصاص,2016-03-09,,الغرف مجتمعة,123633
يؤول اختصاص الفصل في طلب  رفض اعتماد  الجمعيات الوطنية إلى مجلس الدولة,تنازع الإختصاص السلبي,تنازع الإختصاص,2016-03-09,,الغرف مجتمعة,123633
"لا تعتبر المداولة قرارا إداريا إلا إذا تجسدت قي قرار إداري، فهي من الأعمال التحضيرية التي لا يجوز الطعن فيها قضائيا.
إبطال مداولة من حق الوالي فقط، و الطعن في قرار الإبطال من حق رئيس المجلس الشعبي البلدي و ليس من حق المجلس الشعبي البلدي",وقف تنفيذ مداولة,إستعجالي,2016-02-18,,الغرفة الخامسة,114291
قاضي الاستعجال مختص بأمر أي تدبير مؤقت لحين الفصل في الموضوع متى ثبت له أن هناك نزاع جدي و عنصر الاستعجال متوفر,التدابير المؤقتة,إستعجالي,2016-01-21,,الغرفة الخامسة,119587
لا يمكن فرض غرامة تهديدية بغرض تنفيذ سند تنفيذي، متى ثبت عدم امتناع الإدارة عن التنفيذ و إنما  عدم تمكنها لاستحالة التنفيذ ,الغرامة التهديدية,مسؤولية الإدارة,2016-01-21,,الغرفة الثالثة,104732
صحة  الفاتورة شرط من شروط حسم الرسم على رقم الأعمال بمفهوم قانون الرسوم على رقم الأعمال ,حسم الرسم على القيمة المضافة,منازعات ضريبية,2016-01-14,القسم الأول,الغرفة الثانية,108516
الدعوى الرامية إلى إلغاء إشعار بالدفع لا ترفع إلا بعد صدور قرار فاصل في طعن مسبق موجه إلى إدارة الضرائب,الشكوى في المنازعات الضريبية,منازعات ضريبية,2016-01-14,القسم الأول,الغرفة الثانية,106255
القاضي الإداري غير مختص للفصل في دعوى قائمة بين شخصين خاضعين للقانون الخاص ، منصبة على إلغاء عقد توثيقي.,العقود التوثيقية,عقاري,2015-11-26,القسم الثالث,الغرفة الرابعة,97700
امتناع مدير الحفظ العقاري للولاية عن شهر التنازل عن حق الانتفاع ، في ظل سريان القانون رقم 87- 19 و التعليمة الوزارية رقم 7 لسنة 2002 ، امتناع تعسفي ، يجعل القضاء الإداري يلزمه بالشهر.,عدم رجعية القوانين,مبادىء عامة,2015-11-26,القسم الأول,الغرفة الرابعة,98751
إن الأمر على عريضة هو أمر مؤقت ، ينفذ خلال ثلاثة (3) أشهر من صدوره و لا يرتب أي أثر، فلا يجوز اتخاذ تدابير لتنفيذه عن طريق الغرامة التهديدية التي تكون ضد الأحكام النهائية.,الغرامة التهديدية,إستعجالي,2015-11-19,,الغرفة الخامسة,112791
إن الأمر على عريضة هو أمر مؤقت ، ينفذ خلال ثلاثة (3) أشهر من صدوره و لا يرتب أي أثر، فلا يجوز اتخاذ تدابير لتنفيذه عن طريق الغرامة التهديدية التي تكون ضد الأحكام النهائية.,الأمر على العريضة,إستعجالي,2015-11-19,,الغرفة الخامسة,112791
 يجيز قانون الإجراءات المدنية و الإدارية للجهات القضائية الإدارية أمر شخص معنوي عام أو هيئة تخضع منازعاتها للقضاء الإداري ، باتخاذ تدابير تنفيذ معينة.,إلزام الإدارة,عقاري,2015-10-29,القسم الأول,الغرفة الرابعة,98229
