idLaw,wizara,sujet,type,num,date,num_jarida,date_jarida,page_jarida,مجال
1,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئاسة الجمهورية.,مرسوم رئاسي,23-01,02 يناير 2023,1,02 يناير 2023،,6,"المالية, السياسة"
2,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الشؤون الخارجية والجالية الوطنية بالخارج.,مرسوم رئاسي,23-02,02 يناير 2023,1,02 يناير 2023،,7,"المالية, السياسة"
3,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الشعبي الوطني.,مرسوم رئاسي,23-03,02 يناير 2023,1,02 يناير 2023،,9,"المالية, السياسة"
4,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس مجلس الأمة.,مرسوم رئاسي,23-04,02 يناير 2023,1,02 يناير 2023،,11,"المالية, السياسة"
5,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف الرئيس الأول للمحكمة العليا.,مرسوم رئاسي,23-05,02 يناير 2023,1,02 يناير 2023،,13,"المالية, السياسة"
6,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس مجلس الدولة.,مرسوم رئاسي,23-06,02 يناير 2023,1,02 يناير 2023،,15,"المالية, السياسة"
7,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف نائب رئيس المجلس الأعلى للقضاء.,مرسوم رئاسي,23-07,02 يناير 2023,1,02 يناير 2023،,17,"المالية, السياسة"
8,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المحكمة الدستورية.,مرسوم رئاسي,23-08,02 يناير 2023,1,02 يناير 2023،,19,"المالية, السياسة"
9,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف الوزير الأول.,مرسوم تنفيذي,23-09,02 يناير 2023,1,02 يناير 2023،,21,"المالية, السياسة"
10,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الداخلية والجماعات المحلية والتهيئة العمرانية.,مرسوم تنفيذي,23-10,02 يناير 2023,1,02 يناير 2023،,23,"المالية, السياسة"
11,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير العدل، حافظ الأختام.,مرسوم تنفيذي,23-11,02 يناير 2023,1,02 يناير 2023،,27,"المالية, السياسة"
12,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير المالية.,مرسوم تنفيذي,23-12,02 يناير 2023,1,02 يناير 2023،,29,"المالية, السياسة"
13,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الطاقة والمناجم.,مرسوم تنفيذي,23-13,02 يناير 2023,1,02 يناير 2023،,32,"المالية, السياسة"
14,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير المجاهدين وذوي الحقوق.,مرسوم تنفيذي,23-14,02 يناير 2023,1,02 يناير 2023،,35,"المالية, السياسة"
15,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الشؤون الدينية والأوقاف.,مرسوم تنفيذي,23-15,02 يناير 2023,1,02 يناير 2023،,37,"المالية, السياسة"
16,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التربية الوطنية.,مرسوم تنفيذي,23-16,02 يناير 2023,1,02 يناير 2023،,39,"المالية, السياسة"
17,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التعليم العالي والبحث العلمي.,مرسوم تنفيذي,23-17,02 يناير 2023,1,02 يناير 2023،,42,"المالية, السياسة"
18,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التكوين والتعليم المهنيين.,مرسوم تنفيذي,23-18,02 يناير 2023,1,02 يناير 2023،,45,"المالية, السياسة"
19,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزيرة الثقافة والفنون.,مرسوم تنفيذي,23-19,02 يناير 2023,1,02 يناير 2023،,47,"المالية, السياسة"
20,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الشباب والرياضة.,مرسوم تنفيذي,23-20,02 يناير 2023,1,02 يناير 2023،,49,"المالية, السياسة"
21,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الرقمنة والإحصائيات.,مرسوم تنفيذي,23-21,02 يناير 2023,1,02 يناير 2023،,51,"المالية, السياسة"
22,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير البريد والمواصلات السلكية واللاسلكية.,مرسوم تنفيذي,23-22,02 يناير 2023,1,02 يناير 2023،,53,"المالية, السياسة"
23,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزيرة التضامن الوطني والأسرة وقضايا المرأة.,مرسوم تنفيذي,23-23,02 يناير 2023,1,02 يناير 2023،,56,"المالية, السياسة"
24,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الصناعة.,مرسوم تنفيذي,23-24,02 يناير 2023,1,02 يناير 2023،,58,"المالية, السياسة"
25,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الفلاحة والتنمية الريفية.,مرسوم تنفيذي,23-25,02 يناير 2023,1,02 يناير 2023،,60,"المالية, السياسة"
